Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1968.348414682568
FDW14,OUT017,1211.179300166129
NCN55,OUT010,2172.4645376573794
FDQ58,OUT017,2403.1616474029524
FDY38,OUT027,4898.015220482268
FDH56,OUT046,1876.1834577536733
FDL48,OUT018,1378.7848099304927
FDC48,OUT027,2736.311583345057
FDN33,OUT045,1190.2964987721364
FDA36,OUT017,2898.22456164745
FDT44,OUT017,1497.6591159987368
FDQ56,OUT045,1218.9656864703777
NCC54,OUT019,2580.9845940919286
FDU11,OUT049,2067.987122328629
DRL59,OUT013,757.0710026910565
FDM24,OUT049,2581.143132071673
FDI57,OUT045,2758.8318101683076
DRC12,OUT018,3499.9480502979686
NCM42,OUT027,3136.625146620679
FDA46,OUT010,1301.647457224596
FDA31,OUT013,2450.293130514981
NCJ31,OUT035,3164.6396023548014
FDG52,OUT046,781.2047498275441
NCL19,OUT019,1356.6065420684138
FDS10,OUT035,2524.9687337030036
FDX22,OUT010,1859.0629529409266
NCF19,OUT035,557.8989347830496
NCE06,OUT046,2434.0716373491755
DRC27,OUT046,3716.954215008586
FDE21,OUT035,1602.430359457578
NCR42,OUT019,-343.2875453296647
FDX51,OUT018,3635.149875753616
NCR06,OUT018,1335.213156531007
FDU31,OUT027,4804.771239926851
FDU59,OUT017,2413.7966570344333
FDR03,OUT027,4642.299139082035
FDS49,OUT027,2622.054646819371
FDD48,OUT010,365.30613916366747
NCF18,OUT017,2612.858741749864
NCD43,OUT027,3063.0840091000236
NCD54,OUT018,2787.319915856067
FDY19,OUT010,360.3885932828716
NCY54,OUT017,2418.5402469806504
NCL19,OUT018,2837.0363543981757
FDP23,OUT010,1886.449692564403
FDC26,OUT013,1488.6292214040288
FDR14,OUT010,-892.8543233020114
NCS41,OUT035,2542.3155110612743
FDF41,OUT035,3381.0842590012307
FDU34,OUT046,1902.5785428300792
DRH11,OUT046,911.8980469668927
FDM03,OUT013,1406.9674218685784
FDS31,OUT017,2585.9343609913058
FDJ20,OUT017,1823.1342100433003
FDV44,OUT027,4349.80367421023
FDG02,OUT049,3183.1980854504463
FDA09,OUT013,2522.8072884876683
FDT04,OUT013,415.2658653985661
FDL58,OUT019,3043.301707338525
FDE52,OUT045,1257.5481935520927
FDW12,OUT035,2067.0171402127908
FDL51,OUT017,3285.2408869339515
NCY42,OUT027,3627.798975341561
FDR07,OUT017,1213.52373148693
FDN40,OUT045,2250.477563894827
FDB35,OUT027,2846.1212775303197
FDA22,OUT017,2240.239555258224
NCL06,OUT046,3956.777675063647
FDI35,OUT013,2643.12608323018
NCW42,OUT045,3303.197592718158
NCX06,OUT049,3032.6145287207855
FDC37,OUT027,3111.570658789391
FDZ14,OUT018,2520.656828902286
DRG49,OUT049,3925.3267431968893
NCG06,OUT045,3657.5108204588428
DRC36,OUT045,2675.4277977379083
FDV21,OUT019,655.7932510312581
FDB53,OUT046,2159.297912856346
DRP47,OUT019,2639.343775003227
FDA14,OUT013,2070.211736292536
DRC24,OUT035,2126.96165149794
FDW21,OUT018,2265.3952150189234
NCH29,OUT046,1577.2348225641733
FDU58,OUT013,2840.4081214145804
FDY27,OUT017,2506.916917222845
FDV56,OUT035,1558.4944421253026
FDT59,OUT046,3577.3251258176456
FDB23,OUT046,3564.6230972167245
FDR49,OUT045,581.581284466868
FDB03,OUT010,1971.378753560521
FDN39,OUT045,2380.2388743470733
FDX02,OUT027,4776.38278719709
FDQ16,OUT027,3089.6072433388913
FDU35,OUT018,2074.184844827687
NCT29,OUT013,1732.7531998507986
FDZ27,OUT046,873.08373282464
FDN57,OUT017,2109.4036386460994
FDA03,OUT018,2856.0585893859866
FDZ36,OUT045,2624.4562760871054
NCU05,OUT013,1134.151818255491
FDT39,OUT018,3008.6516463238486
FDK60,OUT017,1467.663392695252
FDZ25,OUT017,2436.5624605340618
FDG12,OUT046,2049.282945904513
DRB01,OUT019,1899.2564841939047
NCC43,OUT027,5124.071130836057
FDX13,OUT019,2847.472365500625
FDM22,OUT049,1164.528867844355
FDJ03,OUT027,2222.23769238561
FDU14,OUT018,4377.401818389797
FDB33,OUT010,1064.7274899727981
FDP27,OUT046,2819.831597973211
FDO38,OUT010,-314.09877387227425
FDE28,OUT027,4844.93297940143
FDO27,OUT035,1098.3736716697213
DRL23,OUT027,3121.5782833611834
FDS28,OUT046,940.0001487730885
FDX24,OUT013,1383.005991722696
FDZ02,OUT035,1343.5401860918416
FDL46,OUT045,1752.1960577840532
FDS60,OUT027,4159.811978218731
NCO06,OUT017,219.0881178834083
FDO16,OUT035,1150.4495752581754
FDC60,OUT049,1570.5530352341498
FDA48,OUT018,3801.819399255515
FDZ36,OUT027,4267.383263551639
FDK27,OUT045,1893.353267867093
FDW23,OUT018,1170.4763062826141
FDM14,OUT018,2330.4019975281763
FDM14,OUT013,1609.1745536721437
FDW60,OUT018,3397.9365869492585
FDE21,OUT013,1715.6135028520866
NCM42,OUT035,1494.3370671283647
FDY59,OUT010,66.62676189997057
DRI49,OUT049,1295.6022696371797
FDT28,OUT019,1357.302510455989
FDQ22,OUT018,1249.1418894573062
FDR60,OUT049,1315.86589157464
FDC50,OUT019,310.5677262019765
FDV24,OUT013,2120.8019753293324
DRF48,OUT010,1488.5194555998355
FDQ47,OUT046,515.7421162480167
DRN36,OUT049,1749.5879786828261
NCY06,OUT035,1715.0672852314462
FDE52,OUT035,1251.5218965945105
NCB54,OUT045,1713.6787325447094
NCF31,OUT035,2093.9205111413294
FDJ08,OUT027,4193.572204037002
NCC07,OUT017,1649.3422311287188
NCD19,OUT027,2330.910306065492
FDL46,OUT049,2065.034552269583
FDM20,OUT045,3502.015014542762
NCI06,OUT010,1299.4561369256076
DRM11,OUT035,3658.8264596477075
NCH07,OUT018,2916.8480237929534
FDS23,OUT013,1729.4451632736443
FDO49,OUT018,1453.9806686726522
FDS35,OUT049,1185.7489566995314
DRK39,OUT045,1267.4177830531673
DRI39,OUT049,1098.5303470238334
FDV04,OUT017,2078.2187874785777
NCN14,OUT035,2460.788803840155
FDH08,OUT013,3432.781141775526
FDS20,OUT046,2813.909251734855
FDV40,OUT049,1481.972011797089
FDZ48,OUT010,180.4699106548975
FDS24,OUT027,2815.1782085640357
FDK44,OUT049,2776.5330989544454
FDS48,OUT045,2326.2356192927596
FDK26,OUT010,1504.3208330466728
FDD23,OUT045,2685.120921279636
NCH54,OUT017,2399.3122680563583
NCP14,OUT010,35.38671258554416
FDM60,OUT010,-734.0129017362663
FDV24,OUT017,2001.8058259735753
FDH08,OUT018,4091.631739487779
FDS12,OUT027,3171.711079058077
FDR39,OUT027,4100.188152788967
FDP12,OUT027,2084.6265483872808
DRF60,OUT027,4979.924078819389
FDC09,OUT035,1446.1439262031427
FDF50,OUT018,3484.1986188342153
FDG28,OUT035,3512.2906529567354
NCE19,OUT017,798.1145570702718
NCM53,OUT010,206.84077387509853
NCN18,OUT049,1906.7424800052695
FDF32,OUT035,2750.8148576371923
FDF11,OUT013,3607.3709936230357
DRI59,OUT049,3671.7621029691163
NCG54,OUT035,2295.901988813359
FDM44,OUT046,1634.9165237043874
FDT57,OUT018,4187.380729303086
FDV24,OUT046,2267.304157384355
FDI50,OUT019,2644.8079604764857
FDS09,OUT035,597.5169185224937
