Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Age,Item_Outlet_Sales
FDW58,20.75,0,0.007564836,13,107.8622,OUT049,1,0,1,14,2181.2889135750365
FDW14,8.3,1,0.038427677,4,87.3198,OUT017,2,1,1,6,2181.2889135750365
NCN55,14.6,0,0.099574908,11,241.7538,OUT010,2,2,0,15,2181.2889135750365
FDQ58,7.315,0,0.015388393,13,155.034,OUT017,1,1,1,6,2181.2889135750365
FDY38,12.955040000000011,1,0.118599314,4,234.23,OUT027,1,2,3,28,2181.2889135750365
FDH56,9.8,1,0.063817206,6,117.1492,OUT046,2,0,1,16,2181.2889135750365
FDL48,19.35,1,0.082601537,0,50.1034,OUT018,1,2,2,4,2181.2889135750365
FDC48,12.272417582417582,0,0.015782495,0,81.0592,OUT027,1,2,3,28,2181.2889135750365
FDN33,6.305,1,0.12336544599999999,13,95.7436,OUT045,2,1,1,11,2181.2889135750365
FDA36,5.985,0,0.005698435,0,186.8924,OUT017,1,1,1,6,2181.2889135750365
FDT44,16.6,0,0.103569075,6,118.3466,OUT017,2,1,1,6,2181.2889135750365
FDQ56,6.59,0,0.10581147,6,85.3908,OUT045,1,1,1,11,2181.2889135750365
NCC54,13.216928571428557,0,0.171079215,8,240.4196,OUT019,2,0,0,28,2181.2889135750365
FDU11,4.785,0,0.092737611,1,122.3098,OUT049,1,0,1,14,2181.2889135750365
DRL59,16.75,0,0.021206463999999998,7,52.0298,OUT013,0,2,1,26,2181.2889135750365
FDM24,6.135,1,0.0794507,0,151.6366,OUT049,1,0,1,14,2181.2889135750365
FDI57,19.85,0,0.05413521,12,198.7768,OUT045,2,1,1,11,2181.2889135750365
DRC12,17.85,0,0.037980963,14,192.2188,OUT018,1,2,2,4,2181.2889135750365
NCM42,13.270503802281391,0,0.028184344,9,109.6912,OUT027,1,2,3,28,2181.2889135750365
FDA46,13.6,0,0.196897637,13,193.7136,OUT010,2,2,0,15,2181.2889135750365
FDA31,7.1,0,0.109920138,6,175.00799999999998,OUT013,0,2,1,26,2181.2889135750365
NCJ31,19.2,0,0.182619235,11,239.9196,OUT035,2,1,1,9,2181.2889135750365
FDG52,13.65,0,0.06563084400000001,5,47.7402,OUT046,2,0,1,16,2181.2889135750365
NCL19,14.009725274725271,0,0.027447057,11,142.347,OUT019,2,0,0,28,2181.2889135750365
FDS10,19.2,0,0.035178935,13,180.7318,OUT035,2,1,1,9,2181.2889135750365
FDX22,6.785,1,0.038455125,13,209.4928,OUT010,2,2,0,15,2181.2889135750365
NCF19,13.0,0,0.035102094,9,47.6034,OUT035,2,1,1,9,2181.2889135750365
NCE06,5.825,0,0.09148523199999999,9,161.3894,OUT046,2,0,1,16,2181.2889135750365
DRC27,13.8,0,0.058102469000000004,4,244.6802,OUT046,2,0,1,16,2181.2889135750365
FDE21,12.8,0,0.022940349,6,116.5492,OUT035,2,1,1,9,2181.2889135750365
NCR42,13.270503802281391,0,0.06737681,9,32.09,OUT019,2,0,0,28,2181.2889135750365
FDX51,9.5,1,0.022148582000000003,10,194.9452,OUT018,1,2,2,4,2181.2889135750365
NCR06,12.5,0,0.006792706999999999,9,42.4112,OUT018,1,2,2,4,2181.2889135750365
FDU31,13.146658950617322,1,0.024870035,6,217.7508,OUT027,1,2,3,28,2181.2889135750365
FDU59,5.78,0,0.096931426,1,164.2552,OUT017,1,1,1,6,2181.2889135750365
FDR03,12.702148148148146,1,0.008693632,10,205.09799999999998,OUT027,1,2,3,28,2181.2889135750365
FDS49,12.39356545961002,0,0.078961284,3,80.3644,OUT027,1,2,3,28,2181.2889135750365
FDD48,10.395,0,0.050479462999999995,0,114.0176,OUT010,2,2,0,15,2181.2889135750365
NCF18,18.35,0,0.08948591800000001,9,192.1504,OUT017,2,1,1,6,2181.2889135750365
NCD43,13.270503802281391,0,0.01594238,9,103.3964,OUT027,1,2,3,28,2181.2889135750365
NCD54,21.1,0,0.029127115,9,143.3786,OUT018,1,2,2,4,2181.2889135750365
FDY19,19.75,0,0.06923642099999999,6,116.6466,OUT010,2,2,0,15,2181.2889135750365
NCY54,8.43,0,0.17869996100000002,9,173.9422,OUT017,1,1,1,6,2181.2889135750365
NCL19,15.35,0,0.015740089,11,144.847,OUT018,1,2,2,4,2181.2889135750365
FDP23,6.71,0,0.059565107,1,217.2166,OUT010,2,2,0,15,2181.2889135750365
FDC26,10.195,0,0.126277921,3,112.1886,OUT013,0,2,1,26,2181.2889135750365
FDR14,11.65,0,0.291322397,4,55.8298,OUT010,2,2,0,15,2181.2889135750365
NCS41,12.85,0,0.053433907999999995,8,183.2608,OUT035,2,1,1,9,2181.2889135750365
FDF41,12.15,0,0.131155007,5,248.146,OUT035,2,1,1,9,2181.2889135750365
FDU34,18.25,0,0.07519492900000001,13,124.9046,OUT046,2,0,1,16,2181.2889135750365
DRH11,5.98,0,0.075557965,7,57.0614,OUT046,2,0,1,16,2181.2889135750365
FDM03,12.65,0,0.122928415,10,106.6938,OUT013,0,2,1,26,2181.2889135750365
FDS31,13.1,1,0.044442342,6,181.0318,OUT017,2,1,1,6,2181.2889135750365
FDJ20,20.7,1,0.100741569,6,122.3388,OUT017,1,1,1,6,2181.2889135750365
FDV44,13.146658950617322,1,0.039651481,6,188.7188,OUT027,1,2,3,28,2181.2889135750365
