Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1688.0874781818175
FDW14,OUT017,1412.1562050420173
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2649.1102324324343
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1796.0488656488546
FDL48,OUT018,713.8586545454555
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2763.677052941176
FDT44,OUT017,1796.0488656488546
FDQ56,OUT045,1412.1562050420173
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2057.6339063063074
DRL59,OUT013,713.8586545454555
FDM24,OUT049,2292.1697396825402
FDI57,OUT045,2909.0762917808224
DRC12,OUT018,2909.0762917808224
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2878.0249005917162
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.4820818181818
FDS10,OUT035,2909.0762917808224
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2491.417435185186
DRC27,OUT046,4109.9006062176195
FDE21,OUT035,2042.4213960000002
NCR42,OUT019,92.67548155339806
FDX51,OUT018,3480.8111032679717
NCR06,OUT018,507.0464036697247
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2491.417435185186
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2909.0762917808224
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524399999995
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2878.0249005917162
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1512.424939047619
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3058.7523908256862
FDF41,OUT035,3737.29577518248
FDU34,OUT046,2057.6339063063074
DRH11,OUT046,955.8721507936506
FDM03,OUT013,1512.424939047619
FDS31,OUT017,3058.7523908256862
FDJ20,OUT017,2149.0895525423725
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2763.677052941176
FDA09,OUT013,2878.0249005917162
FDT04,OUT013,507.0464036697247
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2292.1697396825402
FDL51,OUT017,3753.000099363056
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2292.1697396825402
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2292.1697396825402
NCL06,OUT046,3880.151257575755
FDI35,OUT013,3480.8111032679717
NCW42,OUT045,3753.000099363056
NCX06,OUT049,2878.0249005917162
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524399999995
DRG49,OUT049,3454.0625591549283
NCG06,OUT045,3880.151257575755
DRC36,OUT045,2878.0249005917162
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,584.7577647727272
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1559.342975268818
FDU58,OUT013,3480.8111032679717
FDY27,OUT017,2588.1966212121215
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,4109.9006062176195
FDB23,OUT046,3753.000099363056
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727272
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1830.7778103448272
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2235.5300280000006
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3388.8493672727272
NCU05,OUT013,1240.3673076086952
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2285.375427118644
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727272
FDM22,OUT049,817.7036327485382
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3480.8111032679717
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1559.342975268818
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,955.8721507936506
FDX24,OUT013,1460.7407669724766
FDZ02,OUT035,1559.342975268818
FDL46,OUT045,1796.0488656488546
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1412.1562050420173
FDC60,OUT049,1412.1562050420173
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,2285.375427118644
FDW23,OUT018,507.0464036697247
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1688.0874781818175
FDW60,OUT018,2878.0249005917162
FDE21,OUT013,2042.4213960000002
NCM42,OUT035,1879.05405
FDY59,OUT010,219.2185209302326
DRI49,OUT049,1240.3673076086952
FDT28,OUT019,346.8972837209302
FDQ22,OUT018,507.0464036697247
FDR60,OUT049,1240.3673076086952
FDC50,OUT019,219.2185209302326
FDV24,OUT013,2491.417435185186
DRF48,OUT010,482.6995426229506
FDQ47,OUT046,583.8145788617886
DRN36,OUT049,1559.342975268818
NCY06,OUT035,1830.7778103448272
FDE52,OUT035,1353.0650169014084
NCB54,OUT045,1830.7778103448272
NCF31,OUT035,2292.1697396825402
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1688.0874781818175
NCD19,OUT027,1378.2631852760742
FDL46,OUT049,1796.0488656488546
FDM20,OUT045,4109.9006062176195
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4452.2961915343885
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2057.6339063063074
FDO49,OUT018,713.8586545454555
FDS35,OUT049,1103.1862133333334
DRK39,OUT045,1412.1562050420173
DRI39,OUT049,817.7036327485382
FDV04,OUT017,2491.417435185186
NCN14,OUT035,2909.0762917808224
FDH08,OUT013,4109.9006062176195
FDS20,OUT046,3388.8493672727272
FDV40,OUT049,1103.1862133333334
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2878.0249005917162
FDS48,OUT045,2660.9504030303033
FDK26,OUT010,482.6995426229506
FDD23,OUT045,3480.8111032679717
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.2185209302326
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2491.417435185186
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444443
FDP12,OUT027,1378.2631852760742
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1784.4287381818178
FDF50,OUT018,2882.643724752476
FDG28,OUT035,4109.9006062176195
NCE19,OUT017,817.7036327485382
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1512.424939047619
FDF32,OUT035,2882.643724752476
FDF11,OUT013,4109.9006062176195
DRI59,OUT049,3753.000099363056
NCG54,OUT035,2894.220710714286
FDM44,OUT046,1688.0874781818175
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2491.417435185186
FDI50,OUT019,584.7577647727272
FDS09,OUT035,713.8586545454555
NCC31,OUT027,4117.31771263158
FDQ07,OUT019,584.7577647727272
FDC22,OUT017,3480.8111032679717
FDZ56,OUT046,2894.220710714286
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,2235.5300280000006
FDV45,OUT017,3480.8111032679717
FDL26,OUT045,2894.220710714286
FDA56,OUT018,1752.2524399999995
FDN27,OUT046,2042.4213960000002
FDM20,OUT049,4109.9006062176195
FDO16,OUT017,1412.1562050420173
FDL03,OUT035,2909.0762917808224
FDE58,OUT046,1796.0488656488546
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1460.7407669724766
FDR45,OUT013,4109.9006062176195
NCN07,OUT017,1830.7778103448272
FDM51,OUT019,219.2185209302326
FDT52,OUT027,6280.890879999999
FDL26,OUT046,2660.9504030303033
NCZ42,OUT046,4109.9006062176195
DRI47,OUT019,346.8972837209302
FDW40,OUT013,2235.5300280000006
FDN34,OUT046,2894.220710714286
FDS01,OUT035,2588.1966212121215
NCG55,OUT045,2042.4213960000002
FDC11,OUT035,1353.0650169014084
FDX35,OUT018,3327.9525829268296
NCB06,OUT046,2894.220710714286
FDR09,OUT019,584.7577647727272
FDC53,OUT017,1559.342975268818
FDY45,OUT013,3880.151257575755
FDA22,OUT010,425.93559145299156
FDE02,OUT035,1559.342975268818
FDW21,OUT045,1879.05405
